Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Next_day_open
25-Sep-24,EQ,708.85,709,700,708.85,702.1,704.75,703.53,715.45,421.05,870179,"61,21,94,295.90","32,146",704.75
24-Sep-24,EQ,704.85,712.65,699.95,704.85,708.85,708.85,708.89,715.45,421.05,1506959,"1,06,82,64,361.10","50,136",708.85
23-Sep-24,EQ,705.15,715.45,699.8,703.4,704,704.85,706.97,715.45,421.05,1973734,"1,39,53,67,746.85","60,714",704.85
20-Sep-24,EQ,695.45,707.05,687.95,695.45,703,703.4,701.09,707.05,421.05,3809291,"2,67,06,56,672.40","83,560",705.15
19-Sep-24,EQ,679.7,697,674.4,675.65,697,695.45,687.58,697,421.05,2837085,"1,95,07,29,976.75","82,033",695.45
18-Sep-24,EQ,676.9,680.3,670.05,675.45,674.95,675.65,675.19,685,421.05,869061,"58,67,79,723.95","29,822",679.7
17-Sep-24,EQ,666,681.7,662.75,664.25,674.25,675.45,673.81,685,421.05,2173183,"1,46,43,17,086.70","51,355",676.9
16-Sep-24,EQ,682,685,662.9,679.05,665,664.25,670.68,685,421.05,2740694,"1,83,81,25,700.15","67,463",666
13-Sep-24,EQ,669.95,684.5,668.1,669.5,677,679.05,677.82,684.5,421.05,1703437,"1,15,46,16,063.30","51,109",682
12-Sep-24,EQ,664.05,673.15,657.55,663.1,669.7,669.5,667.87,673.15,421.05,1303618,"87,06,48,284.05","43,709",669.95
11-Sep-24,EQ,665.85,672.85,660.05,665.85,664,663.1,665.13,672.85,421.05,1905249,"1,26,72,47,753.95","54,007",664.05
10-Sep-24,EQ,646,671.3,644.05,642.4,664.6,665.85,662.13,671.3,421.05,3840869,"2,54,31,65,623.10","1,15,463",665.85
09-Sep-24,EQ,643,646.05,634.8,647.65,644.7,642.4,640.07,667.65,421.05,1822553,"1,16,65,55,955.40","43,248",646
06-Sep-24,EQ,644.5,651.9,639.35,645.1,646,647.65,645.99,667.65,421.05,1229658,"79,43,47,978.35","44,739",643
05-Sep-24,EQ,656,656,643.3,650.2,644,645.1,646.83,667.65,421.05,1221050,"78,98,10,286.85","29,047",644.5
04-Sep-24,EQ,648,655.55,644.95,654.2,652,650.2,649.93,667.65,421.05,595342,"38,69,31,335.80","23,989",656
03-Sep-24,EQ,648.75,659,648.75,649.45,653.8,654.2,651.91,667.65,421.05,1003535,"65,42,14,001.90","38,218",648
02-Sep-24,EQ,654,656.35,642.35,650.3,650.35,649.45,648.49,667.65,421.05,977624,"63,39,83,644.05","44,433",648.75
30-Aug-24,EQ,650.9,661.75,648.1,650.9,651.5,650.3,652.64,667.65,421.05,1685369,"1,09,99,36,568.65","39,503",654
29-Aug-24,EQ,658.5,658.5,648.25,656.1,654.3,650.9,651.75,667.65,421.05,1521570,"99,16,81,256.80","33,221",650.9
28-Aug-24,EQ,665,667.65,649.25,661.4,652.05,656.1,659.48,667.65,421.05,2032356,"1,34,02,89,993.50","53,135",658.5
27-Aug-24,EQ,658.95,665,655.35,656.9,660.1,661.4,660.89,665,421.05,1769224,"1,16,92,61,527.00","38,495",665
26-Aug-24,EQ,650.25,660,648.55,650.25,656.7,656.9,656.53,663.1,421.05,1411350,"92,65,95,358.05","39,899",658.95
23-Aug-24,EQ,657.7,661.95,649.2,657.6,649.9,650.25,652.16,663.1,421.05,1135838,"74,07,52,521.10","36,266",650.25
